time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,119,30,2391.5,3138.0,3.842702369139031e-05,2.643078658020863e-05
2021-01-02 16:15:00,131,29,2113.0,3116.0,4.337722490395753e-05,2.631084723649913e-05
2021-01-02 16:30:00,164,41,1724.0,2289.0,5.4873466470639006e-05,3.762527610987682e-05
2021-01-02 16:45:00,160,29,1817.5,3136.5,5.2750806180680076e-05,2.623885866393541e-05
2021-01-02 17:00:00,152,28,1865.0,3222.5,5.040812340173915e-05,2.517258956722025e-05
2021-01-02 17:15:00,156,28,1778.5,3124.5,5.3093387524891776e-05,2.6306814498437092e-05
2021-01-02 17:30:00,174,42,1642.5,2172.5,5.8832459693848046e-05,3.989168457834965e-05
2021-01-02 17:45:00,147,28,1925.0,3055.5,4.918941202925398e-05,2.6815043239257223e-05
2021-01-02 18:00:00,129,35,2145.0,2598.5,4.321356142054031e-05,3.260934378819952e-05
2021-01-02 18:15:00,134,31,2060.0,2798.5,4.509572240150202e-05,2.9677936943000172e-05
2021-01-02 18:30:00,128,25,2100.0,3347.0,4.4106159390700976e-05,2.418751711266836e-05
2021-01-02 18:45:00,131,21,2059.0,3815.0,4.517428307378236e-05,2.050362767755409e-05
2021-01-02 19:00:00,147,30,1909.0,3015.5,4.9232805526399156e-05,2.7629015992595424e-05
2021-01-02 19:15:00,145,32,1942.0,2688.5,4.907950541397717e-05,3.1055900621118014e-05
2021-01-02 19:30:00,146,30,1898.5,2770.5,5.0492631707090165e-05,2.9982040757586205e-05
2021-01-02 19:45:00,190,21,1443.0,3708.0,6.66880068288519e-05,2.1284661056976e-05
2021-01-02 20:00:00,226,32,1249.5,2637.5,7.874789453914711e-05,3.203078158109944e-05
2021-01-02 20:15:00,222,34,1253.5,2457.0,7.836636487379485e-05,3.482675227218951e-05
2021-01-02 20:30:00,218,36,1266.5,2310.0,7.710844737189298e-05,3.728610978480736e-05
2021-01-02 20:45:00,179,24,1489.0,3257.5,6.307051953547682e-05,2.510473381136931e-05
2021-01-02 21:00:00,166,26,1630.5,3114.0,5.778212033230985e-05,2.6623768266721005e-05
2021-01-02 21:15:00,199,28,1393.5,2863.0,6.948855376860172e-05,2.909148336434693e-05
2021-01-02 21:30:00,158,20,1760.5,3842.0,5.457838371298126e-05,2.092829547404682e-05
2021-01-02 21:45:00,146,18,1900.5,4162.5,5.06833222709461e-05,1.9097940605404722e-05
2021-01-02 22:00:00,174,18,1662.5,4260.5,5.888625780877466e-05,1.8694675444855386e-05
2021-01-02 22:15:00,158,27,1762.0,2910.0,5.430760722401166e-05,2.861973383647532e-05
2021-01-02 22:30:00,133,22,2147.0,3383.0,4.540318368489508e-05,2.3715917800628905e-05
2021-01-02 22:45:00,124,27,2208.0,2861.5,4.310550106147296e-05,2.9729691042444092e-05
2021-01-02 23:00:00,119,22,2271.0,3355.5,4.185764952062439e-05,2.4305014676914545e-05
2021-01-02 23:15:00,109,18,2422.0,3999.0,3.8738145771997935e-05,2.0273101198816048e-05
2021-01-02 23:30:00,133,31,2012.5,2486.0,4.744032684601726e-05,3.489006814818149e-05
2021-01-02 23:45:00,95,14,2640.5,4823.0,3.484645186091057e-05,1.621689870345895e-05
2021-01-03 00:00:00,109,16,2313.5,4298.0,3.982431994493283e-05,1.8581769658060602e-05
2021-01-03 00:15:00,124,24,2042.0,2964.5,4.6181652550847305e-05,2.8810175754076342e-05
2021-01-03 00:30:00,120,28,2073.5,2504.0,4.570211589371059e-05,3.433872205993088e-05
2021-01-03 00:45:00,98,19,2491.0,3453.5,3.690780392917468e-05,2.25458541140844e-05
2021-01-03 01:00:00,100,26,2360.0,2694.0,3.9026568116776864e-05,3.06736885818374e-05
2021-01-03 01:15:00,93,21,2400.0,3085.5,3.771372122503899e-05,2.6753534970055152e-05
2021-01-03 01:30:00,80,12,2655.0,4856.0,3.3505846560813324e-05,1.559460270800276e-05
2021-01-03 01:45:00,68,13,3040.5,4485.5,2.9561387263737128e-05,1.7710110020652712e-05
2021-01-03 02:00:00,70,11,2969.5,5097.0,3.0291883938810394e-05,1.5207716671943286e-05
2021-01-03 02:15:00,60,12,3277.5,4515.0,2.700250583254126e-05,1.7381328976413536e-05
2021-01-03 02:30:00,42,16,4327.0,3451.0,1.950641343007276e-05,2.3970432471546343e-05
2021-01-03 02:45:00,70,12,2790.0,4378.0,3.2878421234575317e-05,1.83698868568052e-05
2021-01-03 03:00:00,63,13,3158.0,4437.5,2.8301696080215087e-05,1.785513170219838e-05
2021-01-03 03:15:00,68,12,2857.5,4458.5,3.13825537922355e-05,1.8190306991747666e-05
2021-01-03 03:30:00,44,11,4090.0,4727.5,2.0473324653884487e-05,1.690092371230326e-05
2021-01-03 03:45:00,44,10,4054.0,4980.0,2.089745051103765e-05,1.5733957656773153e-05
2021-01-03 04:00:00,49,9,3844.0,5771.0,2.2723215010306603e-05,1.3402330516362014e-05
2021-01-03 04:15:00,45,6,4013.0,7881.5,2.146166326936486e-05,9.385309175547517e-06
2021-01-03 04:30:00,49,10,3780.0,5214.5,2.273004545545213e-05,1.5087234389238576e-05
2021-01-03 04:45:00,47,11,4019.5,4867.0,2.1259041877598575e-05,1.6395055251336195e-05
2021-01-03 05:00:00,33,3,5557.5,15881.5,1.4662730538113324e-05,4.261932701241359e-06
2021-01-03 05:15:00,53,8,3704.5,6430.0,2.3710676067427794e-05,1.1748706907945946e-05
2021-01-03 05:30:00,43,7,4397.0,7161.5,1.9242817506488854e-05,1.0085016690702625e-05
2021-01-03 05:45:00,54,8,3657.5,6332.0,2.4404353013485667e-05,1.1933601441579055e-05
2021-01-03 06:00:00,48,10,4053.5,5559.5,2.103352612604954e-05,1.3645096498122434e-05
2021-01-03 06:15:00,44,12,4336.5,4674.5,1.9549664589959117e-05,1.745180393480006e-05
2021-01-03 06:30:00,42,5,4605.0,10027.5,1.8273669078645955e-05,6.906010577245799e-06
2021-01-03 06:45:00,48,16,4136.0,3744.5,2.0847412575506727e-05,2.243174091339245e-05
2021-01-03 07:00:00,62,19,3465.5,3472.0,2.5139055468920426e-05,2.359747184138525e-05
2021-01-03 07:15:00,56,18,3800.0,3556.5,2.263161191635195e-05,2.3418624832329152e-05
2021-01-03 07:30:00,64,16,3576.5,4089.0,2.4665493514131398e-05,1.9314154378035944e-05
2021-01-03 07:45:00,67,26,3544.0,2766.0,2.480537039971448e-05,3.1231306261396424e-05
2021-01-03 08:00:00,77,26,3363.0,3022.0,2.6629813771141305e-05,2.8395408244060717e-05
2021-01-03 08:15:00,86,15,3108.5,4742.0,2.8946190378420948e-05,1.6844431567812313e-05
2021-01-03 08:30:00,101,30,2778.5,2693.0,3.282446742301606e-05,3.1689527139439203e-05
2021-01-03 08:45:00,101,34,2773.5,2494.0,3.272816472441751e-05,3.5616564635684446e-05
2021-01-03 09:00:00,110,22,2731.0,3828.0,3.29686105858612e-05,2.01332270542984e-05
2021-01-03 09:15:00,142,25,2269.0,3418.5,4.000969248888463e-05,2.3884863493228164e-05
2021-01-03 09:30:00,141,29,2307.5,3072.5,3.922082408792808e-05,2.7483254168925352e-05
2021-01-03 09:45:00,140,37,2332.0,2480.0,3.862633709204381e-05,3.4243152295031604e-05
2021-01-03 10:00:00,128,30,2750.5,3312.5,3.193837490561961e-05,2.4859790780000797e-05
2021-01-03 10:15:00,139,32,2579.0,3082.0,3.4945564113168326e-05,2.673303141715977e-05
2021-01-03 10:30:00,139,40,2611.0,2604.0,3.502402799503314e-05,3.219831586708857e-05
2021-01-03 10:45:00,151,40,2349.0,2547.0,3.918263467149383e-05,3.350574832994786e-05
2021-01-03 11:00:00,168,41,2108.5,2619.5,4.373865528628512e-05,3.251039738013773e-05
2021-01-03 11:15:00,159,58,2209.5,1892.5,4.19844879199538e-05,4.76711806343226e-05
