time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,13.0,5.0,13965.0,13599.0,4.197910151160286e-06,4.405131096701438e-06
2021-01-02 16:15:00,7.0,4.0,21606.5,15862.5,2.317866979600784e-06,3.629082377448156e-06
2021-01-02 16:30:00,4.0,2.0,33294.5,31052.5,1.3383772309911956e-06,1.8353793224330155e-06
2021-01-02 16:45:00,19.0,6.0,10320.5,11313.0,6.26415823395576e-06,5.4287293787452576e-06
2021-01-02 17:00:00,8.0,2.0,19536.0,31748.5,2.6530591264073244e-06,1.7980421119443038e-06
2021-01-02 17:15:00,7.0,3.0,21013.5,20242.5,2.382395594065657e-06,2.818587267689689e-06
2021-01-02 17:30:00,12.0,5.0,14187.0,12757.0,4.0574110133688315e-06,4.749010068851148e-06
2021-01-02 17:45:00,7.0,4.0,20896.0,15331.0,2.342352953773999e-06,3.830720462751031e-06
2021-01-02 18:00:00,10.0,8.0,16279.0,8780.5,3.3498884822124276e-06,7.453564294445604e-06
2021-01-02 18:15:00,3.0,0.0,41752.5,191935.0,1.0096057254067615e-06,0.0
2021-01-02 18:30:00,6.0,3.0,23561.5,19726.5,2.0674762214391084e-06,2.902502053520203e-06
2021-01-02 18:45:00,7.0,2.0,20816.0,29279.0,2.4138929886753934e-06,1.9527264454813418e-06
2021-01-02 19:00:00,14.0,8.0,12585.5,8819.0,4.688838621561824e-06,7.367737598025446e-06
2021-01-02 19:15:00,,,,,,
2021-01-02 19:30:00,8.0,5.0,18699.0,12352.5,2.7667195455939816e-06,4.997006792931035e-06
2021-01-02 19:45:00,11.0,7.0,14803.5,9120.5,3.8608846058808996e-06,7.094887018991998e-06
2021-01-02 20:00:00,6.0,2.0,23570.0,29332.5,2.090652067410985e-06,2.001923848818715e-06
2021-01-02 20:15:00,4.0,4.0,32220.0,14645.0,1.41200657430261e-06,4.097264973198765e-06
2021-01-02 20:30:00,3.0,3.0,41266.5,19033.5,1.0611254225489858e-06,3.107175815400613e-06
2021-01-02 20:45:00,11.0,6.0,15021.5,10280.0,3.875841982627067e-06,6.2761834528423275e-06
2021-01-02 21:00:00,7.0,4.0,21671.0,15092.5,2.4365954356998133e-06,4.095964348726309e-06
2021-01-02 21:15:00,7.0,2.0,21443.0,28864.5,2.4443209868352365e-06,2.0779630974533525e-06
2021-01-02 21:30:00,6.0,4.0,24556.5,14755.5,2.0725968498600482e-06,4.185659094809363e-06
2021-01-02 21:45:00,11.0,7.0,15532.5,9117.0,3.818606472468541e-06,7.426976902101834e-06
2021-01-02 22:00:00,3.0,3.0,43690.5,19324.0,1.015280307047839e-06,3.1157792408092307e-06
2021-01-02 22:15:00,8.0,3.0,19835.5,18864.0,2.74975226450692e-06,3.1799704262750355e-06
2021-01-02 22:30:00,2.0,1.0,63696.0,82776.5,6.827546418781213e-07,1.07799626366495e-06
2021-01-02 22:45:00,10.0,7.0,16849.5,8859.0,3.476250085602658e-06,7.707697677670689e-06
2021-01-02 23:00:00,8.0,5.0,19864.0,11777.5,2.8139596316386144e-06,5.5238669720260325e-06
2021-01-02 23:15:00,9.0,4.0,17945.5,14027.0,3.1985624949356096e-06,4.505133599736901e-06
2021-01-02 23:30:00,11.0,9.0,15372.0,7147.0,3.923636054933759e-06,1.0129374623665596e-05
2021-01-02 23:45:00,5.0,1.0,27723.0,79309.5,1.834023782153188e-06,1.158349907389925e-06
2021-01-03 00:00:00,7.0,3.0,21567.5,17946.5,2.5575251340782557e-06,3.4840818108863616e-06
2021-01-03 00:15:00,3.0,2.0,42232.0,26486.0,1.1172980455850157e-06,2.400847979506362e-06
2021-01-03 00:30:00,9.0,4.0,17426.0,13403.0,3.4276586920282938e-06,4.905531722847269e-06
2021-01-03 00:45:00,5.0,4.0,26993.0,13065.5,1.8830512208762593e-06,4.746495602965136e-06
2021-01-03 01:00:00,6.0,3.0,23466.5,17314.0,2.3415940870066115e-06,3.5392717594427775e-06
2021-01-03 01:15:00,5.0,3.0,26414.0,16408.0,2.027619420701021e-06,3.821933567150736e-06
2021-01-03 01:30:00,7.0,2.0,19944.0,25016.5,2.9317615740711654e-06,2.599100451333793e-06
2021-01-03 01:45:00,6.0,4.0,22163.0,12249.0,2.608357699741512e-06,5.449264621739296e-06
2021-01-03 02:00:00,9.0,3.0,16044.0,16053.5,3.894670792132765e-06,4.147559092348168e-06
2021-01-03 02:15:00,8.0,5.0,17199.0,9792.0,3.6003341110055017e-06,7.242220406838974e-06
2021-01-03 02:30:00,3.0,2.0,37902.5,23175.0,1.393315245005197e-06,2.996304058943293e-06
2021-01-03 02:45:00,3.0,2.0,37494.0,22661.5,1.4090751957675136e-06,3.061647809467533e-06
2021-01-03 03:00:00,3.0,1.0,38420.0,72215.5,1.347699813343576e-06,1.373471669399875e-06
2021-01-03 03:15:00,6.0,5.0,21166.0,9438.5,2.769048864020779e-06,7.579294579894859e-06
2021-01-03 03:30:00,7.0,3.0,18749.5,15059.5,3.257119831299805e-06,4.609342830628162e-06
2021-01-03 03:45:00,6.0,3.0,21073.5,14745.0,2.849652342414225e-06,4.720187297031947e-06
2021-01-03 04:00:00,5.0,4.0,24842.5,11680.5,2.3186954092149597e-06,5.956591340605337e-06
2021-01-03 04:15:00,5.0,2.0,24558.0,22880.0,2.384629252151651e-06,3.1284363918491717e-06
2021-01-03 04:30:00,3.0,3.0,38298.0,15159.5,1.3916354360480894e-06,4.526170316771574e-06
2021-01-03 04:45:00,9.0,7.0,15769.5,7124.0,4.070880359540154e-06,1.0433216978123036e-05
2021-01-03 05:00:00,14.0,8.0,11314.5,6612.0,6.220552349502623e-06,1.1365153869976958e-05
2021-01-03 05:15:00,6.0,4.0,22205.5,11807.0,2.6842274793314486e-06,5.874353453972973e-06
2021-01-03 05:30:00,2.0,0.0,57812.0,165962.5,8.950147677436678e-07,0.0
2021-01-03 05:45:00,10.0,5.0,14541.5,9538.5,4.519324632126975e-06,7.4585009009869096e-06
2021-01-03 06:00:00,5.0,5.0,26179.0,10087.0,2.190992304796827e-06,6.822548249061217e-06
2021-01-03 06:15:00,9.0,5.0,16208.5,9835.5,3.9987950297643645e-06,7.2715849728333585e-06
2021-01-03 06:30:00,3.0,2.0,40388.5,24754.5,1.30526207704614e-06,2.76240423089832e-06
2021-01-03 06:45:00,,,,,,
2021-01-03 07:00:00,4.0,2.0,33210.5,26649.5,1.6218745463819628e-06,2.483944404356342e-06
2021-01-03 07:15:00,6.0,2.0,24219.5,26382.0,2.42481556246628e-06,2.60206942581435e-06
2021-01-03 07:30:00,9.0,6.0,17669.0,9477.5,3.4685850254247285e-06,7.2428078917634785e-06
2021-01-03 07:45:00,9.0,6.0,18297.5,9759.0,3.3320646805586615e-06,7.207224521860713e-06
2021-01-03 08:00:00,12.0,4.0,15365.5,14692.0,4.150100847450592e-06,4.3685243452401104e-06
2021-01-03 08:15:00,9.0,5.0,19347.5,12008.0,3.0292524814626577e-06,5.6148105226041054e-06
2021-01-03 08:30:00,6.0,3.0,27211.5,19581.5,1.9499683617633303e-06,3.1689527139439203e-06
2021-01-03 08:45:00,8.0,6.0,21906.0,10775.5,2.592329879161783e-06,6.285276112179608e-06
2021-01-03 09:00:00,6.0,5.0,27897.0,13312.5,1.7982878501378838e-06,4.575733421431454e-06
2021-01-03 09:15:00,5.0,4.0,32866.0,15921.5,1.4087919890452337e-06,3.821578158916506e-06
2021-01-03 09:30:00,9.0,4.0,20896.0,15876.0,2.5034568566762605e-06,3.7907936784724618e-06
2021-01-03 09:45:00,9.0,4.0,21132.0,16288.0,2.483121670202816e-06,3.701962410273686e-06
2021-01-03 10:00:00,9.0,7.0,21842.0,10879.0,2.245666985551378e-06,5.8006178486668525e-06
2021-01-03 10:15:00,10.0,8.0,20276.0,9657.5,2.5140693606595918e-06,6.683257854289943e-06
2021-01-03 10:30:00,13.0,5.0,16688.0,14384.5,3.275628517521085e-06,4.024789483386072e-06
2021-01-03 10:45:00,7.0,6.0,26317.5,12174.5,1.8164135278175945e-06,5.025862249492179e-06
2021-01-03 11:00:00,14.0,7.0,15806.0,11194.5,3.64488794052376e-06,5.550555650267418e-06
2021-01-03 11:15:00,7.0,4.0,26374.0,17458.0,1.8483736820105445e-06,3.2876676299532827e-06
2021-01-03 11:30:00,13.0,10.0,16412.5,8211.0,3.4858967321863303e-06,8.156932862732687e-06
2021-01-03 11:45:00,12.0,6.0,17588.5,12698.5,3.145163446281395e-06,4.678811301200817e-06
2021-01-03 12:00:00,16.0,11.0,14303.5,8195.0,4.162380715273908e-06,7.97321579363578e-06
2021-01-03 12:15:00,9.0,3.0,21752.5,23539.0,2.348655264380294e-06,2.2745624310523263e-06
2021-01-03 12:30:00,6.0,4.0,29729.5,18136.0,1.5834376642816575e-06,3.0939756426767534e-06
2021-01-03 12:45:00,15.0,9.0,14420.0,9054.0,4.079928519652336e-06,7.100647736865773e-06
2021-01-03 13:00:00,9.0,6.0,20998.0,12892.5,2.4447466875719668e-06,4.5709584157058135e-06
2021-01-03 13:15:00,16.0,10.0,13548.5,8452.0,4.315720876436596e-06,7.717204581550017e-06
2021-01-03 13:30:00,11.0,9.0,17685.5,9167.5,2.9486197644910586e-06,6.946631346905507e-06
2021-01-03 13:45:00,15.0,11.0,14141.5,7775.5,3.991246929400697e-06,8.583690987124463e-06
2021-01-03 14:00:00,11.0,6.0,17829.0,12823.0,2.913747511063632e-06,4.580621223850378e-06
2021-01-03 14:15:00,6.0,5.0,27438.0,14487.0,1.6078402578547017e-06,3.91218858000856e-06
2021-01-03 14:30:00,15.0,13.0,14029.5,6769.5,3.9982610230057286e-06,1.0105807807747113e-05
2021-01-03 14:45:00,7.0,5.0,23851.5,14061.0,1.9118730319656976e-06,4.013478867428371e-06
2021-01-03 15:00:00,8.0,6.0,21806.0,12541.0,2.192076902441892e-06,4.702972043182689e-06
2021-01-03 15:15:00,7.0,5.0,23585.0,14370.5,1.934517681906152e-06,3.978177310545273e-06
2021-01-03 15:30:00,12.0,9.0,15960.0,8932.0,3.3223281214310934e-06,7.060246653639204e-06
2021-01-03 15:45:00,13.0,7.0,14989.0,10887.0,3.624702739522448e-06,5.600165764906641e-06
2021-01-03 16:00:00,11.0,8.0,16981.5,10011.0,3.0429947494508776e-06,6.131179654293435e-06
2021-01-03 16:15:00,5.0,3.0,30279.5,22329.5,1.384115612408873e-06,2.324575881130488e-06
2021-01-03 16:30:00,10.0,3.0,17653.5,21597.5,2.869430578718237e-06,2.4703170816662125e-06
2021-01-03 16:45:00,12.0,9.0,15438.5,8626.5,3.468373491799465e-06,7.454644699209227e-06
2021-01-03 17:00:00,17.0,12.0,12205.5,7026.0,4.930830598414303e-06,9.861235974446249e-06
2021-01-03 17:15:00,8.0,4.0,20790.5,16605.0,2.336495682886133e-06,3.3509649941441888e-06
2021-01-03 17:30:00,8.0,5.0,20672.5,13850.5,2.3530539846469107e-06,4.205196782183422e-06
2021-01-03 17:45:00,9.0,6.0,18970.0,11676.5,2.648820289021611e-06,5.138253267929079e-06
2021-01-03 18:00:00,5.0,3.0,29583.5,21549.0,1.4898511340746832e-06,2.5467563238081812e-06
2021-01-03 18:15:00,5.0,4.0,29284.0,16247.0,1.4837490897199337e-06,3.4611896801168497e-06
2021-01-03 18:30:00,14.0,8.0,13666.5,9145.0,4.184491854737159e-06,7.031879023553279e-06
2021-01-03 18:45:00,6.0,4.0,25430.0,16284.0,1.804836963061004e-06,3.5155748755925943e-06
2021-01-03 19:00:00,7.0,4.0,22836.0,16803.0,2.077507039039028e-06,3.3646979258319635e-06
2021-01-03 19:15:00,15.0,5.0,12911.0,13318.0,4.48527037209803e-06,4.385626372701055e-06
2021-01-03 19:30:00,12.0,6.0,15272.5,11549.5,3.6226666630440003e-06,5.216429666878801e-06
2021-01-03 19:45:00,20.0,7.0,10514.5,10136.0,6.0542234414082845e-06,6.143411805180125e-06
2021-01-03 20:00:00,16.0,4.0,12383.0,16207.0,4.919347301000103e-06,3.6000100800282235e-06
2021-01-03 20:15:00,20.0,7.0,10544.5,10009.0,6.128757847874424e-06,6.423798153249798e-06
2021-01-03 20:30:00,18.0,6.0,11598.0,11396.5,5.450436156013285e-06,5.468475152160321e-06
2021-01-03 20:45:00,13.0,4.0,14474.5,15880.5,4.013008320818407e-06,3.7429912488864602e-06
2021-01-03 21:00:00,11.0,4.0,16495.5,15918.5,3.3831039178803815e-06,3.7138342181543363e-06
2021-01-03 21:15:00,9.0,3.0,19057.5,20141.5,2.7832205201282507e-06,2.8136967003778798e-06
2021-01-03 21:30:00,12.0,3.0,15454.0,20245.0,3.810969558292749e-06,2.919452310746504e-06
2021-01-03 21:45:00,18.0,5.0,11500.5,12670.5,5.635582567389825e-06,4.928215611404284e-06
2021-01-03 22:00:00,20.0,8.0,10871.0,8879.5,6.085782759464305e-06,7.63500113570642e-06
2021-01-03 22:15:00,16.0,6.0,12694.0,11001.5,4.951918419619996e-06,5.790242669070261e-06
2021-01-03 22:30:00,14.0,6.0,14055.5,11293.0,4.324392446027721e-06,5.6304245621641095e-06
2021-01-03 22:45:00,11.0,5.0,16878.5,12990.5,3.3617256532367763e-06,4.558982289265603e-06
2021-01-03 23:00:00,13.0,1.0,15110.0,88775.5,3.9036260782641e-06,9.112489121966112e-07
2021-01-03 23:15:00,13.0,6.0,15095.5,11200.5,4.00071643598946e-06,5.553807134790899e-06
2021-01-03 23:30:00,11.0,4.0,16712.0,15336.0,3.487366065328512e-06,3.921418690853977e-06
2021-01-03 23:45:00,12.0,3.0,15394.5,18994.0,3.954825348321241e-06,3.15603101747284e-06
2021-01-04 00:00:00,24.0,5.0,8706.0,12050.0,8.178562556291513e-06,5.3848498326927146e-06
2021-01-04 00:15:00,18.0,6.0,10618.0,9673.5,6.410822608264547e-06,6.9148084079460375e-06
2021-01-04 00:30:00,33.0,4.0,6432.0,13581.5,1.2182556719953662e-05,4.723464755867724e-06
2021-01-04 00:45:00,23.0,6.0,8427.0,9169.5,8.782433910275601e-06,7.465667262675771e-06
2021-01-04 01:00:00,18.0,5.0,10282.0,10945.0,6.873789210671328e-06,6.20282749688618e-06
2021-01-04 01:15:00,14.0,3.0,11941.0,16494.0,5.6462996571889506e-06,3.939060113996399e-06
2021-01-04 01:30:00,19.0,4.0,9169.0,12466.5,7.932793374530971e-06,5.455329038170937e-06
2021-01-04 01:45:00,11.0,3.0,13887.5,15765.0,4.711548304720671e-06,4.246260459954933e-06
2021-01-04 02:00:00,18.0,8.0,9361.0,6738.5,7.714954711072803e-06,1.1106282963100764e-05
2021-01-04 02:15:00,13.0,6.0,11895.0,8373.5,5.579633821508374e-06,8.436789464137316e-06
2021-01-04 02:30:00,14.0,4.0,11132.5,11939.5,6.067758660967019e-06,5.7979165186990055e-06
2021-01-04 02:45:00,13.0,4.0,11815.0,11731.5,5.594718585655142e-06,5.906517546787003e-06
2021-01-04 03:00:00,16.0,3.0,10106.5,16657.5,6.6929084451955375e-06,3.941720350707999e-06
2021-01-04 03:15:00,8.0,5.0,17423.0,9893.5,3.5038956750101717e-06,7.220936093271389e-06
2021-01-04 03:30:00,6.0,3.0,22046.5,16039.5,2.646817885254269e-06,4.329179245337474e-06
2021-01-04 03:45:00,11.0,2.0,13290.5,24038.5,4.9563034266980735e-06,2.9425438880420897e-06
2021-01-04 04:00:00,12.0,3.0,12640.0,16376.5,5.253864545739926e-06,4.175638489922097e-06
2021-01-04 04:15:00,10.0,3.0,14257.5,15249.0,4.5585645627219735e-06,4.483420311687381e-06
2021-01-04 04:30:00,15.0,4.0,10326.5,11789.0,6.867399219771884e-06,5.946664367289778e-06
2021-01-04 04:45:00,7.0,2.0,19015.0,23598.5,3.260234224541646e-06,3.0273124125863543e-06
2021-01-04 05:00:00,15.0,2.0,10643.5,24951.5,6.651224002582448e-06,2.7940492339415517e-06
2021-01-04 05:15:00,13.0,3.0,12004.5,16036.5,5.721322312012752e-06,4.2749048833663455e-06
2021-01-04 05:30:00,13.0,3.0,12105.5,16204.0,5.696322892119533e-06,4.119515380210672e-06
2021-01-04 05:45:00,8.0,3.0,18144.0,16372.5,3.4577698249071807e-06,4.1766267613183115e-06
2021-01-04 06:00:00,5.0,2.0,27114.0,26478.5,2.0432732583751727e-06,2.4959658951220087e-06
2021-01-04 06:15:00,17.0,2.0,10200.5,25485.0,6.980845791063284e-06,2.662261511285992e-06
2021-01-04 06:30:00,10.0,4.0,16123.0,13562.0,3.930517877174461e-06,4.924519428460275e-06
2021-01-04 06:45:00,11.0,6.0,15087.5,9461.0,4.3071364160161264e-06,7.620818552120681e-06
2021-01-04 07:00:00,11.0,1.0,15661.0,88073.0,4.016074520818418e-06,1.1093054084185188e-06
2021-01-04 07:15:00,12.0,2.0,14763.0,28425.0,4.35655814480328e-06,2.3537303684176457e-06
2021-01-04 07:30:00,17.0,5.0,11780.5,12358.0,5.821666599317975e-06,5.462200480236666e-06
2021-01-04 07:45:00,14.0,1.0,13687.5,88815.5,4.746346753854796e-06,1.1012463906649546e-06
2021-01-04 08:00:00,18.0,8.0,11885.0,9052.5,5.6569405002998174e-06,7.892410657911352e-06
2021-01-04 08:15:00,18.0,4.0,11950.5,15944.5,5.571442765342283e-06,4.064854757658439e-06
2021-01-04 08:30:00,14.0,2.0,15028.0,32543.0,4.1361343629156545e-06,1.8724522945966644e-06
2021-01-04 08:45:00,10.0,2.0,19625.5,32950.5,2.91412651971698e-06,1.885797961263824e-06
2021-01-04 09:00:00,16.0,8.0,14354.0,9861.0,4.343716081685753e-06,6.594207318580992e-06
2021-01-04 09:15:00,21.0,4.0,11738.0,17599.0,5.666687084729654e-06,3.4656879563877823e-06
2021-01-04 09:30:00,24.0,6.0,10873.5,12685.5,6.319116987655868e-06,5.075734183800795e-06
2021-01-04 09:45:00,18.0,6.0,13590.0,12689.5,4.655937833918042e-06,4.984634863034696e-06
2021-01-04 10:00:00,25.0,8.0,11101.0,10955.0,5.392720560653113e-06,5.77485153217639e-06
2021-01-04 10:15:00,19.0,2.0,13618.5,37201.5,4.459393583495925e-06,1.5156601798937068e-06
2021-01-04 10:30:00,23.0,4.0,11799.5,19006.0,5.389699908539137e-06,2.941747515694223e-06
2021-01-04 10:45:00,31.0,7.0,9331.0,11717.0,7.343255255579629e-06,5.301488051960642e-06
2021-01-04 11:00:00,14.0,6.0,17265.0,14169.5,3.256175919090541e-06,4.20915575559958e-06
2021-01-04 11:15:00,16.0,5.0,15320.0,15744.5,3.840984213794943e-06,3.7465924741447646e-06
2021-01-04 11:30:00,16.0,4.0,15175.0,19075.0,3.883843937440984e-06,2.985504628651739e-06
2021-01-04 11:45:00,26.0,10.0,10485.0,8890.0,6.292259480196444e-06,7.4187443478441495e-06
2021-01-04 12:00:00,27.0,5.0,10219.5,16265.0,6.512189492172228e-06,3.498215909885958e-06
2021-01-04 12:15:00,15.0,6.0,15559.5,13381.0,3.7283726423946295e-06,4.47569807835903e-06
2021-01-04 12:30:00,24.0,5.0,10946.0,15545.0,5.977322040179559e-06,3.7061167975296508e-06
2021-01-04 12:45:00,25.0,9.0,10513.5,9562.0,6.264412847859712e-06,6.702827178027835e-06
2021-01-04 13:00:00,20.0,5.0,12435.0,16131.0,5.013518953859081e-06,3.5218732984949625e-06
2021-01-04 13:15:00,13.0,5.0,16912.0,15718.5,3.244246329135278e-06,3.6546555194800454e-06
2021-01-04 13:30:00,16.0,9.0,14443.0,9541.0,4.0343352184605125e-06,6.644680158320579e-06
2021-01-04 13:45:00,27.0,6.0,9636.0,13148.5,6.974114926698178e-06,4.480684887620689e-06
2021-01-04 14:00:00,19.0,9.0,12509.0,9761.0,4.9892219675968425e-06,6.550251711617162e-06
2021-01-04 14:15:00,10.0,8.0,19659.5,10175.5,2.6983845581165924e-06,6.1336287697857455e-06
2021-01-04 14:30:00,10.0,7.0,19274.5,11407.5,2.716247970623235e-06,5.3675959764500564e-06
2021-01-04 14:45:00,18.0,13.0,12414.5,6825.5,4.9196847793972335e-06,1.0062752875044605e-05
2021-01-04 15:00:00,13.0,6.0,15932.0,13363.0,3.4910331470911905e-06,4.231774277160057e-06
2021-01-04 15:15:00,18.0,7.0,12774.0,11853.0,4.585359913815613e-06,4.810877531552484e-06
2021-01-04 15:30:00,20.0,8.0,11798.0,10656.5,5.100796846483358e-06,5.563344237488038e-06
2021-01-04 15:45:00,20.0,8.0,11550.0,10538.5,5.2946050621719e-06,5.748563577676028e-06
2021-01-04 16:00:00,13.0,10.0,15578.0,8673.5,3.530709979606076e-06,7.3705980945529815e-06
2021-01-04 16:15:00,15.0,5.0,13624.0,14409.0,4.266477348845106e-06,3.931574870946055e-06
2021-01-04 16:30:00,21.0,7.0,10747.5,10931.5,5.97307338517961e-06,5.559323541511468e-06
2021-01-04 16:45:00,21.0,16.0,10749.0,5750.0,5.9447629610694466e-06,1.233398266612911e-05
2021-01-04 17:00:00,19.0,8.0,11823.5,10225.5,5.2667775277136435e-06,6.030612898727164e-06
2021-01-04 17:15:00,9.0,3.0,19885.0,22083.5,2.5581328586196708e-06,2.40675045367246e-06
2021-01-04 17:30:00,12.0,5.0,15977.5,13902.5,3.4503381331370478e-06,4.0907793016385214e-06
2021-01-04 17:45:00,11.0,3.0,16736.5,21218.0,3.161472797969529e-06,2.532530352376273e-06
2021-01-04 18:00:00,15.0,5.0,13481.0,13986.5,4.384852031706572e-06,4.210455402856373e-06
2021-01-04 18:15:00,9.0,5.0,19474.0,13555.5,2.6658420328645004e-06,4.3711184468192254e-06
2021-01-04 18:30:00,29.0,4.0,8192.0,16348.0,8.493387312226582e-06,3.4841475641017824e-06
2021-01-04 18:45:00,14.0,6.0,14041.5,11567.0,4.138634806273461e-06,5.251282625781347e-06
2021-01-04 19:00:00,21.0,5.0,10324.0,13778.5,6.316441064446647e-06,4.32179385561924e-06
2021-01-04 19:15:00,22.0,5.0,9842.0,13411.5,6.632289300459286e-06,4.4890879250717344e-06
2021-01-04 19:30:00,21.0,4.0,10243.0,16256.5,6.408003046547734e-06,3.589404437042295e-06
2021-01-04 19:45:00,28.0,5.0,8207.0,13457.0,8.587529312611217e-06,4.5228485261845805e-06
2021-01-04 20:00:00,30.0,9.0,7805.0,8407.5,9.240131616434744e-06,7.980513359822726e-06
2021-01-04 20:15:00,33.0,5.0,7213.0,13172.5,1.0248549053903641e-05,4.611682498572684e-06
2021-01-04 20:30:00,26.0,1.0,8823.5,92551.5,7.918787353452941e-06,9.04895484571532e-07
2021-01-04 20:45:00,31.0,6.0,7686.5,11350.5,9.338508272713361e-06,5.49619159723908e-06
2021-01-04 21:00:00,21.0,5.0,10275.5,13365.0,6.5102592385228776e-06,4.593751579102105e-06
2021-01-04 21:15:00,16.0,5.0,12683.0,13263.5,4.91399736794016e-06,4.6751124130779715e-06
2021-01-04 21:30:00,9.0,4.0,19713.5,15715.5,2.7469299242915594e-06,3.786423022966549e-06
2021-01-04 21:45:00,14.0,6.0,14107.0,11328.5,4.3255735633302595e-06,5.714976954355432e-06
2021-01-04 22:00:00,11.0,5.0,17359.5,13613.5,3.2899724928390763e-06,4.610270761201806e-06
2021-01-04 22:15:00,11.0,2.0,17383.0,30879.0,3.3063753529555685e-06,1.889107500606876e-06
2021-01-04 22:30:00,16.0,9.0,13065.0,8132.5,4.844920161771883e-06,8.492593043433952e-06
2021-01-04 22:45:00,9.0,1.0,19771.5,88327.5,2.783576896311761e-06,9.735752213423266e-07
2021-01-04 23:00:00,9.0,1.0,19659.0,87523.5,2.8582707398506774e-06,1.000513263304075e-06
2021-01-04 23:15:00,11.0,6.0,16560.0,10580.5,3.58158608911963e-06,6.215033959981397e-06
2021-01-04 23:30:00,8.0,4.0,20995.0,14800.0,2.6088425413517846e-06,4.230601633858351e-06
2021-01-04 23:45:00,7.0,2.0,22956.5,28315.5,2.355108668078386e-06,2.1742840897848873e-06
2021-01-05 00:00:00,7.0,4.0,22907.5,14583.5,2.3960187752031224e-06,4.410473993640096e-06
2021-01-05 00:15:00,17.0,10.0,11514.5,6492.0,5.9120646459925245e-06,1.1288618363421265e-05
2021-01-05 00:30:00,11.0,7.0,15901.5,8534.0,3.889755832954082e-06,8.189759057288535e-06
2021-01-05 00:45:00,6.0,2.0,24487.0,26604.5,2.2045312670506715e-06,2.436439387479138e-06
2021-01-05 01:00:00,9.0,4.0,17933.5,13609.5,3.3795454886822777e-06,4.8530025526793415e-06
2021-01-05 01:15:00,17.0,8.0,10778.0,7148.0,6.5333228287750606e-06,1.0174376088181315e-05
2021-01-05 01:30:00,9.0,2.0,17557.0,25635.0,3.562518035247553e-06,2.594841455187088e-06
2021-01-05 01:45:00,17.0,3.0,10334.5,16163.0,6.9563224787422975e-06,4.1327494217594775e-06
2021-01-05 02:00:00,18.0,3.0,9822.0,16573.0,7.423301826915821e-06,4.040072128754405e-06
2021-01-05 02:15:00,11.0,1.0,14288.5,72042.5,4.611592789648903e-06,1.3733679238934432e-06
2021-01-05 02:30:00,11.0,2.0,14064.5,24298.5,4.7239941972173106e-06,2.8244797661330755e-06
2021-01-05 02:45:00,10.0,3.0,14955.5,15634.0,4.389385938075421e-06,4.307658730044772e-06
2021-01-05 03:00:00,12.0,6.0,13403.0,9328.0,5.030535349571901e-06,7.5664523679212695e-06
2021-01-05 03:15:00,26.0,6.0,6885.5,8701.0,1.1327164675627035e-05,8.308201025232008e-06
2021-01-05 03:30:00,9.0,4.0,16347.0,12322.5,3.977577072185069e-06,5.718329390068691e-06
2021-01-05 03:45:00,12.0,9.0,13009.0,5990.0,5.273501358805517e-06,1.2867547188154993e-05
2021-01-05 04:00:00,13.0,2.0,12378.0,24989.5,5.633209590495995e-06,2.731430709748613e-06
2021-01-05 04:15:00,11.0,4.0,13945.5,12206.0,4.887474779519348e-06,5.723656157080018e-06
2021-01-05 04:30:00,14.0,2.0,11517.5,24487.5,6.1601525253765285e-06,2.838348932426008e-06
2021-01-05 04:45:00,16.0,2.0,10438.5,24510.5,7.0021514110210374e-06,2.8400941775229265e-06
2021-01-05 05:00:00,23.0,6.0,7973.5,9183.5,9.72440610303727e-06,7.926756767468591e-06
2021-01-05 05:15:00,27.0,6.0,6909.0,8738.0,1.155669543570454e-05,8.300144284174806e-06
2021-01-05 05:30:00,25.0,2.0,7411.0,25666.0,1.0515238262680746e-05,2.610928563689033e-06
2021-01-05 05:45:00,28.0,2.0,6809.0,25333.0,1.1514483575411646e-05,2.523270865557605e-06
2021-01-05 06:00:00,26.0,8.0,7636.5,7564.0,9.357112395114868e-06,8.313795912937931e-06
2021-01-05 06:15:00,30.0,9.0,6698.0,6612.0,1.1210062750194588e-05,1.0216614940323618e-05
2021-01-05 06:30:00,19.0,4.0,9914.0,13491.0,6.973477662299435e-06,4.494432521713727e-06
2021-01-05 06:45:00,16.0,2.0,11444.5,27087.5,5.9620359905755125e-06,2.3582235973286044e-06
2021-01-05 07:00:00,26.0,6.0,7981.0,10118.0,9.372561106394793e-06,6.541962327019612e-06
2021-01-05 07:15:00,21.0,5.0,9675.0,11789.0,7.505090059293787e-06,5.672941317960419e-06
2021-01-05 07:30:00,17.0,3.0,11893.0,19539.5,5.723418173468725e-06,3.1005700914874883e-06
2021-01-05 07:45:00,22.0,6.0,9924.5,10593.5,7.379769301702748e-06,6.386273768912684e-06
2021-01-05 08:00:00,17.0,1.0,12748.0,97663.0,5.29345678920085e-06,9.542394473045121e-07
2021-01-05 08:15:00,15.0,7.0,14142.5,10032.0,4.582489391537059e-06,6.839831661971611e-06
2021-01-05 08:30:00,27.0,6.0,9199.5,11776.5,7.937147201156121e-06,5.5126487726087506e-06
2021-01-05 08:45:00,23.0,6.0,10755.0,11906.5,6.519923042230109e-06,5.4231699512999335e-06
2021-01-05 09:00:00,28.0,10.0,9356.5,8367.0,7.605560425226883e-06,7.881705065020126e-06
